Data Table for Daily Death Trends - New York City*
Date generated: Mon Nov 15 2021 12:11:30 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
New York City,Nov 12 2021,0
New York City,Nov 11 2021,14
New York City,Nov 10 2021,6
New York City,Nov  9 2021,25
New York City,Nov  8 2021,0
New York City,Nov  7 2021,14
New York City,Nov  6 2021,0
New York City,Nov  5 2021,5
New York City,Nov  4 2021,12
New York City,Nov  3 2021,8
New York City,Nov  2 2021,5
New York City,Nov  1 2021,22
New York City,Oct 31 2021,0
New York City,Oct 30 2021,0
New York City,Oct 29 2021,14
New York City,Oct 28 2021,0
New York City,Oct 27 2021,6
New York City,Oct 26 2021,11
New York City,Oct 25 2021,9
New York City,Oct 24 2021,25
New York City,Oct 23 2021,0
New York City,Oct 22 2021,0
New York City,Oct 21 2021,14
New York City,Oct 20 2021,10
New York City,Oct 19 2021,8
New York City,Oct 18 2021,11
New York City,Oct 17 2021,8
New York City,Oct 16 2021,6
New York City,Oct 15 2021,6
New York City,Oct 14 2021,12
New York City,Oct 13 2021,0
New York City,Oct 12 2021,25
New York City,Oct 11 2021,13
New York City,Oct 10 2021,16
New York City,Oct  9 2021,14
New York City,Oct  8 2021,14
New York City,Oct  7 2021,10
New York City,Oct  6 2021,5
New York City,Oct  5 2021,13
New York City,Oct  4 2021,11
New York City,Oct  3 2021,9
New York City,Oct  2 2021,8
New York City,Oct  1 2021,8
New York City,Sep 30 2021,25
New York City,Sep 29 2021,14
New York City,Sep 28 2021,30
New York City,Sep 27 2021,18
New York City,Sep 26 2021,15
New York City,Sep 25 2021,14
New York City,Sep 24 2021,14
New York City,Sep 23 2021,20
New York City,Sep 22 2021,20
New York City,Sep 21 2021,7
New York City,Sep 20 2021,15
New York City,Sep 19 2021,14
New York City,Sep 18 2021,10
New York City,Sep 17 2021,10
New York City,Sep 16 2021,8
New York City,Sep 15 2021,13
New York City,Sep 14 2021,17
New York City,Sep 13 2021,5
New York City,Sep 12 2021,18
New York City,Sep 11 2021,16
New York City,Sep 10 2021,16
New York City,Sep  9 2021,13
New York City,Sep  8 2021,13
New York City,Sep  7 2021,14
New York City,Sep  6 2021,13
New York City,Sep  5 2021,12
New York City,Sep  4 2021,11
New York City,Sep  3 2021,11
New York City,Sep  2 2021,13
New York City,Sep  1 2021,10
New York City,Aug 31 2021,18
New York City,Aug 30 2021,16
New York City,Aug 29 2021,12
New York City,Aug 28 2021,9
New York City,Aug 27 2021,9
New York City,Aug 26 2021,13
New York City,Aug 25 2021,11
New York City,Aug 24 2021,13
New York City,Aug 23 2021,12
New York City,Aug 22 2021,11
New York City,Aug 21 2021,9
New York City,Aug 20 2021,16
New York City,Aug 19 2021,11
New York City,Aug 18 2021,8
New York City,Aug 17 2021,7
New York City,Aug 16 2021,9
New York City,Aug 15 2021,11
New York City,Aug 14 2021,9
New York City,Aug 13 2021,9
New York City,Aug 12 2021,9
New York City,Aug 11 2021,6
New York City,Aug 10 2021,10
New York City,Aug  9 2021,15
New York City,Aug  8 2021,9
New York City,Aug  7 2021,8
New York City,Aug  6 2021,8
New York City,Aug  5 2021,12
New York City,Aug  4 2021,3
New York City,Aug  3 2021,2
New York City,Aug  2 2021,11
New York City,Aug  1 2021,9
New York City,Jul 31 2021,6
New York City,Jul 30 2021,6
New York City,Jul 29 2021,5
New York City,Jul 28 2021,6
New York City,Jul 27 2021,2
New York City,Jul 26 2021,3
New York City,Jul 25 2021,3
New York City,Jul 24 2021,2
New York City,Jul 23 2021,2
New York City,Jul 22 2021,4
New York City,Jul 21 2021,4
New York City,Jul 20 2021,3
New York City,Jul 19 2021,6
New York City,Jul 18 2021,5
New York City,Jul 17 2021,4
New York City,Jul 16 2021,4
New York City,Jul 15 2021,3
New York City,Jul 14 2021,1
New York City,Jul 13 2021,9
New York City,Jul 12 2021,1
New York City,Jul 11 2021,6
New York City,Jul 10 2021,4
New York City,Jul  9 2021,4
New York City,Jul  8 2021,3
New York City,Jul  7 2021,2
New York City,Jul  6 2021,2
New York City,Jul  5 2021,4
New York City,Jul  4 2021,5
New York City,Jul  3 2021,2
New York City,Jul  2 2021,2
New York City,Jul  1 2021,4
New York City,Jun 30 2021,4
