Data Table for Daily Death Trends - North Carolina
Date generated: Mon Nov 15 2021 12:11:37 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
North Carolina,Nov 12 2021,40
North Carolina,Nov 11 2021,0
North Carolina,Nov 10 2021,35
North Carolina,Nov  9 2021,19
North Carolina,Nov  8 2021,66
North Carolina,Nov  7 2021,0
North Carolina,Nov  6 2021,0
North Carolina,Nov  5 2021,40
North Carolina,Nov  4 2021,20
North Carolina,Nov  3 2021,61
North Carolina,Nov  2 2021,26
North Carolina,Nov  1 2021,54
North Carolina,Oct 31 2021,0
North Carolina,Oct 30 2021,0
North Carolina,Oct 29 2021,73
North Carolina,Oct 28 2021,42
North Carolina,Oct 27 2021,47
North Carolina,Oct 26 2021,21
North Carolina,Oct 25 2021,102
North Carolina,Oct 24 2021,0
North Carolina,Oct 23 2021,0
North Carolina,Oct 22 2021,69
North Carolina,Oct 21 2021,56
North Carolina,Oct 20 2021,65
North Carolina,Oct 19 2021,39
North Carolina,Oct 18 2021,28
North Carolina,Oct 17 2021,26
North Carolina,Oct 16 2021,26
North Carolina,Oct 15 2021,46
North Carolina,Oct 14 2021,80
North Carolina,Oct 13 2021,97
North Carolina,Oct 12 2021,26
North Carolina,Oct 11 2021,37
North Carolina,Oct 10 2021,33
North Carolina,Oct  9 2021,33
North Carolina,Oct  8 2021,85
North Carolina,Oct  7 2021,74
North Carolina,Oct  6 2021,133
North Carolina,Oct  5 2021,93
North Carolina,Oct  4 2021,40
North Carolina,Oct  3 2021,37
North Carolina,Oct  2 2021,37
North Carolina,Oct  1 2021,81
North Carolina,Sep 30 2021,80
North Carolina,Sep 29 2021,159
North Carolina,Sep 28 2021,50
North Carolina,Sep 27 2021,43
North Carolina,Sep 26 2021,42
North Carolina,Sep 25 2021,42
North Carolina,Sep 24 2021,96
North Carolina,Sep 23 2021,71
North Carolina,Sep 22 2021,0
North Carolina,Sep 21 2021,8
North Carolina,Sep 20 2021,25
North Carolina,Sep 19 2021,28
North Carolina,Sep 18 2021,28
North Carolina,Sep 17 2021,49
North Carolina,Sep 16 2021,57
North Carolina,Sep 15 2021,52
North Carolina,Sep 14 2021,65
North Carolina,Sep 13 2021,57
North Carolina,Sep 12 2021,54
North Carolina,Sep 11 2021,59
North Carolina,Sep 10 2021,51
North Carolina,Sep  9 2021,52
North Carolina,Sep  8 2021,56
North Carolina,Sep  7 2021,60
North Carolina,Sep  6 2021,56
North Carolina,Sep  5 2021,58
North Carolina,Sep  4 2021,71
North Carolina,Sep  3 2021,68
North Carolina,Sep  2 2021,64
North Carolina,Sep  1 2021,72
North Carolina,Aug 31 2021,56
North Carolina,Aug 30 2021,63
North Carolina,Aug 29 2021,48
North Carolina,Aug 28 2021,58
North Carolina,Aug 27 2021,62
North Carolina,Aug 26 2021,45
North Carolina,Aug 25 2021,50
North Carolina,Aug 24 2021,57
North Carolina,Aug 23 2021,50
North Carolina,Aug 22 2021,44
North Carolina,Aug 21 2021,52
North Carolina,Aug 20 2021,34
North Carolina,Aug 19 2021,37
North Carolina,Aug 18 2021,50
North Carolina,Aug 17 2021,41
North Carolina,Aug 16 2021,37
North Carolina,Aug 15 2021,31
North Carolina,Aug 14 2021,31
North Carolina,Aug 13 2021,34
North Carolina,Aug 12 2021,26
North Carolina,Aug 11 2021,29
North Carolina,Aug 10 2021,17
North Carolina,Aug  9 2021,18
North Carolina,Aug  8 2021,17
North Carolina,Aug  7 2021,16
North Carolina,Aug  6 2021,26
North Carolina,Aug  5 2021,14
North Carolina,Aug  4 2021,18
North Carolina,Aug  3 2021,14
North Carolina,Aug  2 2021,12
North Carolina,Aug  1 2021,15
North Carolina,Jul 31 2021,14
North Carolina,Jul 30 2021,10
North Carolina,Jul 29 2021,17
North Carolina,Jul 28 2021,10
North Carolina,Jul 27 2021,15
North Carolina,Jul 26 2021,9
North Carolina,Jul 25 2021,12
North Carolina,Jul 24 2021,10
North Carolina,Jul 23 2021,9
North Carolina,Jul 22 2021,9
North Carolina,Jul 21 2021,4
North Carolina,Jul 20 2021,8
North Carolina,Jul 19 2021,2
North Carolina,Jul 18 2021,5
North Carolina,Jul 17 2021,6
North Carolina,Jul 16 2021,6
North Carolina,Jul 15 2021,4
North Carolina,Jul 14 2021,5
North Carolina,Jul 13 2021,3
North Carolina,Jul 12 2021,3
North Carolina,Jul 11 2021,4
North Carolina,Jul 10 2021,6
North Carolina,Jul  9 2021,4
North Carolina,Jul  8 2021,3
North Carolina,Jul  7 2021,7
North Carolina,Jul  6 2021,2
North Carolina,Jul  5 2021,3
North Carolina,Jul  4 2021,2
North Carolina,Jul  3 2021,5
North Carolina,Jul  2 2021,6
North Carolina,Jul  1 2021,5
North Carolina,Jun 30 2021,4
North Carolina,Jun 29 2021,2
North Carolina,Jun 28 2021,3
North Carolina,Jun 27 2021,1
North Carolina,Jun 26 2021,9
North Carolina,Jun 25 2021,10
North Carolina,Jun 24 2021,1
North Carolina,Jun 23 2021,4
