Data Table for Daily Death Trends - Arizona
Date generated: Mon Nov 15 2021 12:07:19 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Arizona,Nov 12 2021,51
Arizona,Nov 11 2021,24
Arizona,Nov 10 2021,39
Arizona,Nov  9 2021,77
Arizona,Nov  8 2021,0
Arizona,Nov  7 2021,1
Arizona,Nov  6 2021,60
Arizona,Nov  5 2021,58
Arizona,Nov  4 2021,17
Arizona,Nov  3 2021,124
Arizona,Nov  2 2021,0
Arizona,Nov  1 2021,1
Arizona,Oct 31 2021,1
Arizona,Oct 30 2021,57
Arizona,Oct 29 2021,63
Arizona,Oct 28 2021,0
Arizona,Oct 27 2021,81
Arizona,Oct 26 2021,102
Arizona,Oct 25 2021,0
Arizona,Oct 24 2021,11
Arizona,Oct 23 2021,30
Arizona,Oct 22 2021,51
Arizona,Oct 21 2021,49
Arizona,Oct 20 2021,47
Arizona,Oct 19 2021,60
Arizona,Oct 18 2021,57
Arizona,Oct 17 2021,57
Arizona,Oct 16 2021,9
Arizona,Oct 15 2021,38
Arizona,Oct 14 2021,6
Arizona,Oct 13 2021,0
Arizona,Oct 12 2021,71
Arizona,Oct 11 2021,0
Arizona,Oct 10 2021,32
Arizona,Oct  9 2021,31
Arizona,Oct  8 2021,37
Arizona,Oct  7 2021,32
Arizona,Oct  6 2021,39
Arizona,Oct  5 2021,74
Arizona,Oct  4 2021,0
Arizona,Oct  3 2021,3
Arizona,Oct  2 2021,95
Arizona,Oct  1 2021,55
Arizona,Sep 30 2021,25
Arizona,Sep 29 2021,39
Arizona,Sep 28 2021,108
Arizona,Sep 27 2021,0
Arizona,Sep 26 2021,6
Arizona,Sep 25 2021,69
Arizona,Sep 24 2021,10
Arizona,Sep 23 2021,69
Arizona,Sep 22 2021,74
Arizona,Sep 21 2021,71
Arizona,Sep 20 2021,0
Arizona,Sep 19 2021,26
Arizona,Sep 18 2021,108
Arizona,Sep 17 2021,19
Arizona,Sep 16 2021,27
Arizona,Sep 15 2021,29
Arizona,Sep 14 2021,117
Arizona,Sep 13 2021,0
Arizona,Sep 12 2021,4
Arizona,Sep 11 2021,36
Arizona,Sep 10 2021,6
Arizona,Sep  9 2021,62
Arizona,Sep  8 2021,26
Arizona,Sep  7 2021,54
Arizona,Sep  6 2021,1
Arizona,Sep  5 2021,1
Arizona,Sep  4 2021,38
Arizona,Sep  3 2021,80
Arizona,Sep  2 2021,26
Arizona,Sep  1 2021,67
Arizona,Aug 31 2021,0
Arizona,Aug 30 2021,0
Arizona,Aug 29 2021,8
Arizona,Aug 28 2021,55
Arizona,Aug 27 2021,63
Arizona,Aug 26 2021,23
Arizona,Aug 25 2021,0
Arizona,Aug 24 2021,38
Arizona,Aug 23 2021,0
Arizona,Aug 22 2021,3
Arizona,Aug 21 2021,36
Arizona,Aug 20 2021,53
Arizona,Aug 19 2021,4
Arizona,Aug 18 2021,37
Arizona,Aug 17 2021,3
Arizona,Aug 16 2021,0
Arizona,Aug 15 2021,2
Arizona,Aug 14 2021,27
Arizona,Aug 13 2021,23
Arizona,Aug 12 2021,6
Arizona,Aug 11 2021,6
Arizona,Aug 10 2021,12
Arizona,Aug  9 2021,0
Arizona,Aug  8 2021,12
Arizona,Aug  7 2021,34
Arizona,Aug  6 2021,42
Arizona,Aug  5 2021,11
Arizona,Aug  4 2021,7
Arizona,Aug  3 2021,30
Arizona,Aug  2 2021,1
Arizona,Aug  1 2021,5
Arizona,Jul 31 2021,22
Arizona,Jul 30 2021,24
Arizona,Jul 29 2021,15
Arizona,Jul 28 2021,2
Arizona,Jul 27 2021,12
Arizona,Jul 26 2021,0
Arizona,Jul 25 2021,1
Arizona,Jul 24 2021,26
Arizona,Jul 23 2021,7
Arizona,Jul 22 2021,10
Arizona,Jul 21 2021,10
Arizona,Jul 20 2021,0
Arizona,Jul 19 2021,0
Arizona,Jul 18 2021,3
Arizona,Jul 17 2021,14
Arizona,Jul 16 2021,17
Arizona,Jul 15 2021,7
Arizona,Jul 14 2021,21
Arizona,Jul 13 2021,20
Arizona,Jul 12 2021,2
Arizona,Jul 11 2021,4
Arizona,Jul 10 2021,20
Arizona,Jul  9 2021,6
Arizona,Jul  8 2021,0
Arizona,Jul  7 2021,4
Arizona,Jul  6 2021,21
Arizona,Jul  5 2021,0
Arizona,Jul  4 2021,4
Arizona,Jul  3 2021,14
Arizona,Jul  2 2021,22
Arizona,Jul  1 2021,3
Arizona,Jun 30 2021,6
Arizona,Jun 29 2021,17
Arizona,Jun 28 2021,0
Arizona,Jun 27 2021,0
Arizona,Jun 26 2021,11
Arizona,Jun 25 2021,28
Arizona,Jun 24 2021,7
Arizona,Jun 23 2021,10
Arizona,Jun 22 2021,15
Arizona,Jun 21 2021,0
Arizona,Jun 20 2021,12
Arizona,Jun 19 2021,11
Arizona,Jun 18 2021,11
Arizona,Jun 17 2021,18
Arizona,Jun 16 2021,12
Arizona,Jun 15 2021,11
Arizona,Jun 14 2021,0
Arizona,Jun 13 2021,7
Arizona,Jun 12 2021,21
Arizona,Jun 11 2021,0
Arizona,Jun 10 2021,27
Arizona,Jun  9 2021,2
Arizona,Jun  8 2021,13
Arizona,Jun  7 2021,0
Arizona,Jun  6 2021,2
Arizona,Jun  5 2021,25
Arizona,Jun  4 2021,20
Arizona,Jun  3 2021,5
Arizona,Jun  2 2021,20
Arizona,Jun  1 2021,0
Arizona,May 31 2021,0
Arizona,May 30 2021,0
Arizona,May 29 2021,19
Arizona,May 28 2021,15
Arizona,May 27 2021,18
Arizona,May 26 2021,7
Arizona,May 25 2021,14
Arizona,May 24 2021,0
Arizona,May 23 2021,8
Arizona,May 22 2021,16
Arizona,May 21 2021,22
Arizona,May 20 2021,12
Arizona,May 19 2021,17
Arizona,May 18 2021,14
Arizona,May 17 2021,0
Arizona,May 16 2021,7
Arizona,May 15 2021,12
Arizona,May 14 2021,9
Arizona,May 13 2021,8
Arizona,May 12 2021,2
Arizona,May 11 2021,19
Arizona,May 10 2021,0
Arizona,May  9 2021,2
Arizona,May  8 2021,16
Arizona,May  7 2021,24
Arizona,May  6 2021,7
Arizona,May  5 2021,5
Arizona,May  4 2021,11
Arizona,May  3 2021,0
Arizona,May  2 2021,6
Arizona,May  1 2021,14
Arizona,Apr 30 2021,19
Arizona,Apr 29 2021,23
Arizona,Apr 28 2021,6
Arizona,Apr 27 2021,8
Arizona,Apr 26 2021,0
Arizona,Apr 25 2021,8
Arizona,Apr 24 2021,22
Arizona,Apr 23 2021,17
Arizona,Apr 22 2021,22
Arizona,Apr 21 2021,6
Arizona,Apr 20 2021,40
Arizona,Apr 19 2021,0
Arizona,Apr 18 2021,2
Arizona,Apr 17 2021,0
Arizona,Apr 16 2021,30
Arizona,Apr 15 2021,14
