Data Table for Daily Case Trends - Maine
Date generated: Mon Nov 15 2021 11:59:49 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Maine,Nov 12 2021,2
Maine,Nov 11 2021,752
Maine,Nov 10 2021,1
Maine,Nov  9 2021,881
Maine,Nov  8 2021,938
Maine,Nov  7 2021,0
Maine,Nov  6 2021,35
Maine,Nov  5 2021,663
Maine,Nov  4 2021,605
Maine,Nov  3 2021,1348
Maine,Nov  2 2021,4
Maine,Nov  1 2021,858
Maine,Oct 31 2021,0
Maine,Oct 30 2021,588
Maine,Oct 29 2021,5
Maine,Oct 28 2021,630
Maine,Oct 27 2021,572
Maine,Oct 26 2021,616
Maine,Oct 25 2021,881
Maine,Oct 24 2021,0
Maine,Oct 23 2021,98
Maine,Oct 22 2021,488
Maine,Oct 21 2021,575
Maine,Oct 20 2021,554
Maine,Oct 19 2021,648
Maine,Oct 18 2021,440
Maine,Oct 17 2021,439
Maine,Oct 16 2021,48
Maine,Oct 15 2021,496
Maine,Oct 14 2021,551
Maine,Oct 13 2021,802
Maine,Oct 12 2021,888
Maine,Oct 11 2021,0
Maine,Oct 10 2021,0
Maine,Oct  9 2021,64
Maine,Oct  8 2021,537
Maine,Oct  7 2021,466
Maine,Oct  6 2021,1217
Maine,Oct  5 2021,299
Maine,Oct  4 2021,449
Maine,Oct  3 2021,448
Maine,Oct  2 2021,70
Maine,Oct  1 2021,671
Maine,Sep 30 2021,738
Maine,Sep 29 2021,925
Maine,Sep 28 2021,867
Maine,Sep 27 2021,505
Maine,Sep 26 2021,503
Maine,Sep 25 2021,19
Maine,Sep 24 2021,584
Maine,Sep 23 2021,714
Maine,Sep 22 2021,716
Maine,Sep 21 2021,614
Maine,Sep 20 2021,210
Maine,Sep 19 2021,208
Maine,Sep 18 2021,208
Maine,Sep 17 2021,655
Maine,Sep 16 2021,654
Maine,Sep 15 2021,652
Maine,Sep 14 2021,778
Maine,Sep 13 2021,334
Maine,Sep 12 2021,333
Maine,Sep 11 2021,7
Maine,Sep 10 2021,574
Maine,Sep  9 2021,1126
Maine,Sep  8 2021,1
Maine,Sep  7 2021,729
Maine,Sep  6 2021,2
Maine,Sep  5 2021,2
Maine,Sep  4 2021,10
Maine,Sep  3 2021,481
Maine,Sep  2 2021,665
Maine,Sep  1 2021,624
Maine,Aug 31 2021,432
Maine,Aug 30 2021,238
Maine,Aug 29 2021,238
Maine,Aug 28 2021,47
Maine,Aug 27 2021,368
Maine,Aug 26 2021,267
Maine,Aug 25 2021,390
Maine,Aug 24 2021,287
Maine,Aug 23 2021,182
Maine,Aug 22 2021,181
Maine,Aug 21 2021,6
Maine,Aug 20 2021,192
Maine,Aug 19 2021,192
Maine,Aug 18 2021,182
Maine,Aug 17 2021,191
Maine,Aug 16 2021,127
Maine,Aug 15 2021,124
Maine,Aug 14 2021,124
Maine,Aug 13 2021,189
Maine,Aug 12 2021,213
Maine,Aug 11 2021,236
Maine,Aug 10 2021,217
Maine,Aug  9 2021,181
Maine,Aug  8 2021,179
Maine,Aug  7 2021,2
Maine,Aug  6 2021,163
Maine,Aug  5 2021,144
Maine,Aug  4 2021,140
Maine,Aug  3 2021,139
Maine,Aug  2 2021,128
Maine,Aug  1 2021,127
Maine,Jul 31 2021,4
Maine,Jul 30 2021,87
Maine,Jul 29 2021,111
Maine,Jul 28 2021,120
Maine,Jul 27 2021,65
Maine,Jul 26 2021,86
Maine,Jul 25 2021,86
Maine,Jul 24 2021,0
Maine,Jul 23 2021,71
Maine,Jul 22 2021,54
Maine,Jul 21 2021,106
Maine,Jul 20 2021,47
Maine,Jul 19 2021,77
